日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
115/04/01,"10,486.80","33,368.16",2026-04-01,10486.8,33368.16,0,0
115/04/02,"10,395.00","33,076.07",2026-04-02,10395.0,33076.07,0,0
115/04/07,"10,480.34","33,347.61",2026-04-07,10480.34,33347.61,0,0
115/04/08,"10,796.73","34,354.34",2026-04-08,10796.73,34354.34,0,0
115/04/09,"10,826.81","34,450.04",2026-04-09,10826.81,34450.04,0,0
115/04/10,"10,861.75","34,561.21",2026-04-10,10861.75,34561.21,0,0
115/04/13,"10,891.37","34,655.45",2026-04-13,10891.37,34655.45,0,0
115/04/14,"10,999.98","35,001.07",2026-04-14,10999.98,35001.07,0,0
115/04/15,"11,086.56","35,276.53",2026-04-15,11086.56,35276.53,0,0
115/04/16,"11,267.46","35,852.16",2026-04-16,11267.46,35852.16,0,0
115/04/17,"11,308.29","35,982.06",2026-04-17,11308.29,35982.06,0,0
115/04/20,"11,352.20","36,121.78",2026-04-20,11352.2,36121.78,0,0
115/04/21,"11,501.47","36,596.75",2026-04-21,11501.47,36596.75,0,0
