日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
112/09/01,"12,387.10","26,740.34",2023-09-01,12387.1,26740.34,0,0
112/09/04,"12,517.08","27,020.94",2023-09-04,12517.08,27020.94,0,0
112/09/05,"12,478.34","26,937.29",2023-09-05,12478.34,26937.29,0,0
112/09/06,"12,424.18","26,820.38",2023-09-06,12424.18,26820.38,0,0
112/09/07,"12,319.38","26,594.14",2023-09-07,12319.38,26594.14,0,0
112/09/08,"12,277.17","26,503.02",2023-09-08,12277.17,26503.02,0,0
112/09/11,"12,200.63","26,350.20",2023-09-11,12200.63,26350.2,0,0
112/09/12,"12,340.45","26,652.17",2023-09-12,12340.45,26652.17,0,0
112/09/13,"12,312.93","26,592.74",2023-09-13,12312.93,26592.74,0,0
112/09/14,"12,491.95","27,050.57",2023-09-14,12491.95,27050.57,0,0
112/09/15,"12,605.83","27,297.18",2023-09-15,12605.83,27297.18,0,0
