日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
113/03/01,"14,391.52","31,281.32",2024-03-01,14391.52,31281.32,0,0
113/03/04,"14,831.74","32,238.18",2024-03-04,14831.74,32238.18,0,0
113/03/05,"14,898.45","32,383.19",2024-03-05,14898.45,32383.19,0,0
113/03/06,"15,005.49","32,615.85",2024-03-06,15005.49,32615.85,0,0
113/03/07,"15,317.39","33,293.80",2024-03-07,15317.39,33293.8,0,0
113/03/08,"15,572.16","33,847.56",2024-03-08,15572.16,33847.56,0,0
113/03/11,"15,425.14","33,527.98",2024-03-11,15425.14,33527.98,0,0
113/03/12,"15,558.60","33,818.07",2024-03-12,15558.6,33818.07,0,0
113/03/13,"15,658.63","34,035.50",2024-03-13,15658.63,34035.5,0,0
113/03/14,"15,681.95","34,086.19",2024-03-14,15681.95,34086.19,0,0
113/03/15,"15,379.08","33,427.87",2024-03-15,15379.08,33427.87,0,0
