日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
113/09/02,"19,844.05","41,027.32",2024-09-02,19844.05,41027.32,0,0
113/09/03,"19,755.14","40,843.50",2024-09-03,19755.14,40843.5,0,0
113/09/04,"18,966.56","39,213.11",2024-09-04,18966.56,39213.11,0,0
113/09/05,"18,998.11","39,278.36",2024-09-05,18998.11,39278.36,0,0
113/09/06,"19,125.91","39,542.58",2024-09-06,19125.91,39542.58,0,0
113/09/09,"19,013.51","39,310.18",2024-09-09,19013.51,39310.18,0,0
113/09/10,"18,779.34","38,826.05",2024-09-10,18779.34,38826.05,0,0
113/09/11,"18,809.10","38,887.57",2024-09-11,18809.1,38887.57,0,0
113/09/12,"19,217.37","39,741.40",2024-09-12,19217.37,39741.4,0,0
113/09/13,"19,276.96","39,864.63",2024-09-13,19276.96,39864.63,0,0
